poiID;poiName;lat;long;theme
1;5900_Wilshire;34.06370;-118.35878;Landmark
10;Angels_Flight;34.05134;-118.25021;Landmark
15;Aquarium_of_the_Pacific;33.76216;-118.19692;Other
25;Barnsdall_Art_Park;34.10017;-118.29414;Leisure
26;USS_Iowa_BB-61;33.74160;-118.27750;Landmark
31;Beverly_Wilshire_Hotel;34.06694;-118.40083;Architecture
33;Millennium_Biltmore_Hotel;34.04891;-118.25329;Architecture
39;Bradbury_Building;34.05054;-118.24786;Landmark
41;Broadway_Theater_District_Los_Angeles;34.04667;-118.25111;Entertainment
49;California_Club;34.05028;-118.25642;Leisure
52;California_Science_Center;34.01556;-118.28583;Entertainment
55;Capitol_Records_Building;34.10309;-118.32619;Landmark
59;Cathedral_of_Saint_Vibiana;34.05050;-118.24440;Landmark
63;Chteau_lyse;34.10444;-118.31889;Landmark
73;Cinerama_Dome;34.09758;-118.32809;Landmark
74;Cliftons_Cafeteria;34.04532;-118.25294;Leisure
76;Coles_Pacific_Electric_Buffet;34.04478;-118.24943;Landmark
86;Disney_California_Adventure;33.80547;-117.92195;Other
87;Disneyland;33.80900;-117.91900;Landmark
90;Dodger_Stadium;34.07361;-118.24000;Entertainment
99;The_Echo_venue;34.07778;-118.26000;Landmark
102;El_Rey_Theatre;34.06250;-118.34889;Entertainment
103;Electric_Fountain;34.06707;-118.41042;Landmark
114;Faith_Bible_Church_Northridge_California;34.10167;-118.34083;Sacred
115;Farmers_Market_Los_Angeles;34.07250;-118.36028;Landmark
124;Fox_Bruin_Theater;34.06271;-118.44688;Entertainment
133;General_Petroleum_Building;34.04944;-118.25667;Landmark
137;Getty_Center;34.07750;-118.47500;Entertainment
141;The_Grammy_Museum;34.04474;-118.26455;Cultural
143;Homer_Laughlin_Building;34.05083;-118.24917;Other
145;TCL_Chinese_Theatre;34.10194;-118.34097;Entertainment
148;Greek_Theatre_Los_Angeles;34.11970;-118.29606;Entertainment
149;Greystone_Mansion;34.09194;-118.40167;Landmark
150;Griffith_Observatory;34.11856;-118.30037;Landmark
153;The_Grove_at_Farmers_Market;34.07196;-118.35752;Other
154;Guaranty_Building_Hollywood_California;34.10191;-118.32788;Landmark
155;The_Haas_Building;34.05101;-118.25436;Landmark
157;Hammer_Museum;34.05944;-118.44361;Cultural
167;Hollywood_and_Highland_Center;34.10236;-118.33944;Entertainment
169;Hollywood_Bowl;34.11278;-118.33889;Landmark
171;Hollywood_Forever_Cemetery;34.08861;-118.31889;Landmark
175;Hollywood_Museum;34.10111;-118.33833;Cultural
178;Hollywood_Roosevelt_Hotel;34.10111;-118.34167;Architecture
182;Hotel_Alexandria;34.04722;-118.24972;Architecture
183;Hotel_Caf;34.10041;-118.32998;Architecture
186;Huntington_Library;34.12722;-118.11000;Cultural
188;Japanese_American_National_Museum;34.04964;-118.23858;Cultural
196;Jumbos_Clown_Room;34.09047;-118.38467;Landmark
198;Knotts_Berry_Farm;33.84418;-118.00027;Landmark
202;L.A._Live;34.04444;-118.26667;Landmark
203;La_Brea_Tar_Pits;34.06283;-118.35599;Landmark
209;Levitated_Mass;34.06444;-118.36000;Landmark
214;Little_Tokyo_Los_Angeles;34.05056;-118.23944;Landmark
219;Los_Angeles_City_Hall;34.05360;-118.24300;Architecture
220;Los_Angeles_Convention_Center;34.03974;-118.27029;Entertainment
