"from";"to";"cost";"profit";"category";"visitDuration"
"1";"10";"10107.0141689088";"408";"Landmark";"12.6167278287"
"1";"15";"36747.1668918936";"1344";"Other";"61.2590451389"
"1";"25";"7211.14654378422";"360";"Leisure";"29.4924387369"
"1";"26";"36633.9926494349";"374";"Landmark";"31.7861111111"
"1";"31";"3894.46283188088";"541";"Architecture";"23.5844037821"
"1";"33";"9867.33308258115";"450";"Architecture";"24.8557563588"
"1";"39";"10334.0645257827";"555";"Landmark";"25.9698981345"
"1";"41";"10109.5338577885";"431";"Entertainment";"7.99679713805"
"1";"49";"9557.73432999711";"530";"Leisure";"21.5559724312"
"1";"52";"8602.38880393153";"750";"Entertainment";"76.7507575758"
"1";"55";"5315.58230805714";"400";"Landmark";"25.232106136"
"1";"59";"10650.6555430944";"1050";"Landmark";"28.702386673"
"1";"63";"5838.94525621541";"3349";"Landmark";"12.2256872106"
"1";"73";"4714.98049824535";"688";"Landmark";"16.2801523471"
"1";"74";"9973.61910704207";"492";"Leisure";"22.6495295871"
"1";"76";"10302.8229881202";"366";"Landmark";"18.1949439067"
"1";"86";"49538.4789261047";"3691";"Other";"64.4417232681"
"1";"87";"49533.968792358";"5823";"Landmark";"74.1708359142"
"1";"90";"11008.5198245191";"1524";"Entertainment";"58.9008983123"
"1";"99";"9242.48423260695";"943";"Landmark";"27.4539868848"
"1";"102";"921.780890210218";"748";"Entertainment";"42.9178535354"
"1";"103";"4776.83664166441";"376";"Landmark";"25.9388888889"
"1";"114";"4539.24296307503";"2602";"Sacred";"29.2754910329"
"1";"115";"989.328773493293";"949";"Landmark";"26.9173767753"
"1";"124";"8125.26883283284";"377";"Entertainment";"17.1414930556"
"1";"133";"9550.10504353943";"322";"Landmark";"17.9934048864"
"1";"137";"10826.3376087125";"3806";"Entertainment";"68.8053038721"
"1";"141";"8943.36560340239";"782";"Cultural";"36.3665426587"
"1";"143";"10209.8859312421";"460";"Other";"20.2363192644"
"1";"145";"4562.58131800547";"870";"Entertainment";"18.1501218324"
"1";"148";"8502.55820684498";"1174";"Entertainment";"54.3957236842"
"1";"149";"5051.88147732135";"420";"Landmark";"28.82109375"
"1";"150";"8141.92047217261";"2784";"Landmark";"32.5011239398"
"1";"153";"926.81093798706";"704";"Other";"33.8521517094"
"1";"154";"5119.44761575297";"419";"Landmark";"24.6198559671"
"1";"155";"9733.26331398579";"401";"Landmark";"17.2472591608"
"1";"157";"7837.4751740132";"374";"Cultural";"15.1297363465"
"1";"167";"4658.38302130683";"1666";"Entertainment";"27.4871061968"
"1";"169";"5763.06777385882";"811";"Landmark";"53.2309504357"
"1";"171";"4606.24846730812";"664";"Landmark";"51.2021604938"
"1";"175";"4571.39968500186";"925";"Cultural";"24.113317419"
"1";"178";"4453.23455931197";"972";"Architecture";"30.4355785667"
"1";"182";"10224.2898380743";"374";"Architecture";"32.3145854284"
"1";"183";"4873.45350782781";"1147";"Architecture";"18.1037310406"
"1";"186";"23998.9204538395";"397";"Cultural";"33.6072048611"
"1";"188";"11195.5605787246";"720";"Cultural";"18.4210974608"
"1";"196";"3818.25895246109";"321";"Landmark";"19.7915700483"
"1";"198";"41146.5433376079";"646";"Landmark";"113.530263278"
"1";"202";"8761.61132656877";"1388";"Landmark";"31.8697274695"
"1";"203";"274.915531189244";"1136";"Landmark";"38.7826245211"
"1";"209";"139.440197749082";"415";"Landmark";"18.0959401709"
"1";"214";"11103.0153512017";"1009";"Landmark";"19.9574122537"
"1";"219";"10736.7562320461";"1566";"Architecture";"32.1441042062"
"1";"220";"8586.36301367049";"2358";"Entertainment";"87.6296862599"
"1";"223";"125.079510579853";"2456";"Cultural";"35.1834392443"
"1";"227";"8561.28607827395";"1088";"Cultural";"79.0353632479"
"1";"228";"8841.62556890957";"1062";"Cultural";"55.42"
"1";"232";"11663.5819960018";"774";"Leisure";"46.8415555556"
"1";"260";"10022.3290402685";"486";"Cultural";"22.9089376218"
"1";"261";"5421.99192486759";"531";"Cultural";"28.8348177083"
"1";"264";"4748.69273121259";"487";"Leisure";"19.1394047619"
"1";"265";"8290.43241103878";"584";"Cultural";"68.3403153153"
"1";"266";"28718.36189508";"614";"Other";"111.405208333"
"1";"271";"10372.5700006825";"691";"Other";"14.0339764408"
"1";"272";"11093.5510974408";"459";"Other";"25.9708150585"
"1";"273";"21263.0181028317";"1011";"Landmark";"29.7576800111"
"1";"277";"11159.952965635";"945";"Landmark";"28.1619380831"
"1";"280";"9823.05871548798";"526";"Entertainment";"29.3759772947"
"1";"286";"5244.20418296251";"341";"Entertainment";"15.7957607323"
"1";"287";"12970.8801556167";"402";"Landmark";"46.3649198263"
"1";"293";"4710.28595850693";"907";"Entertainment";"24.0619219577"
"1";"294";"9905.32528748108";"681";"Landmark";"31.9358944177"
"1";"295";"248.599191869931";"815";"Cultural";"29.6107526882"
"1";"303";"41922.3821478851";"561";"Landmark";"38.7901587302"
"1";"304";"40336.6574538274";"400";"Landmark";"28.6891025641"
"1";"307";"37944.0204311741";"826";"Landmark";"57.7149023126"
"1";"309";"4049.55924555162";"3319";"Leisure";"58.3102920228"
"1";"321";"4123.07397834325";"859";"Landmark";"18.6746713251"
"1";"324";"20713.7142640756";"944";"Landmark";"88.883048433"
"1";"325";"4042.41991012288";"1005";"Entertainment";"58.6822319994"
"1";"326";"7734.83071811549";"383";"Architecture";"19.3109427609"
"1";"328";"5166.53704621742";"481";"Landmark";"13.8243055556"
"1";"331";"10440.4033351624";"488";"Landmark";"20.9481523717"
"1";"337";"30222.204319117";"474";"Leisure";"68.5157777778"
"1";"339";"13944.0006027763";"1591";"Landmark";"23.497969493"
"1";"340";"14282.7330989644";"2735";"Landmark";"24.9984809912"
"1";"364";"8751.57337495648";"3182";"Entertainment";"62.257053288"
"1";"378";"13752.2751173193";"2652";"Other";"27.0699489379"
"1";"387";"3441.71002291944";"510";"Other";"37.0889814815"
"1";"388";"11432.0488516045";"1054";"Landmark";"21.5922376543"
"1";"389";"8117.05279218332";"1698";"Landmark";"68.4366951567"
"1";"390";"8110.19043552849";"1306";"Entertainment";"102.804243295"
"1";"391";"7924.6707321636";"667";"Edu";"29.0010828625"
"1";"392";"8285.21828533012";"553";"Edu";"50.6802555556"
"1";"394";"78.1509764307848";"764";"Other";"32.7373177083"
"1";"410";"10075.7483596447";"1929";"Architecture";"19.6731152252"
"1";"412";"13599.6252391416";"402";"Landmark";"11.2847083333"
"1";"414";"17650.716878919";"409";"Landmark";"32.7941056911"
"1";"419";"3877.81276389878";"421";"Landmark";"40.2893300654"
"10";"1";"10107.0141689088";"1089";"Landmark";"26.9117879747"
"10";"15";"32565.6918830081";"1344";"Other";"61.2590451389"
"10";"25";"6778.97348035519";"360";"Leisure";"29.4924387369"
"10";"26";"34572.1809156603";"374";"Landmark";"31.7861111111"
"10";"31";"13998.868896151";"541";"Architecture";"23.5844037821"
"10";"33";"392.268727411047";"450";"Architecture";"24.8557563588"
"10";"39";"234.328941404678";"555";"Landmark";"25.9698981345"
"10";"41";"526.447904310589";"431";"Entertainment";"7.99679713805"
